Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
,,,,,,,,,,,,,,30,287,225,200,181,163
,,,,,,,,,,,,,,90,346,266,235,213,192
May–November,188,219,249,276,298,321,342,386,441,512,614,765,"1,110",1,244,192,167,149,129
,,,,,,,,,,,,,,7,261,205,178,158,137
,,,,,,,,,,,,,,30,292,229,204,185,167
,,,,,,,,,,,,,,90,350,269,237,214,192
December–February,208,245,300,340,379,417,448,520,600,706,863,"1,110","1,700",1,330,241,205,179,154
,,,,,,,,,,,,,,7,353,256,217,189,163
,,,,,,,,,,,,,,30,466,320,266,230,196
,,,,,,,,,,,,,,90,796,549,449,380,313
September–November,181,208,228,248,268,283,299,332,363,397,454,564,786,1,243,193,172,157,142
,,,,,,,,,,,,,,7,265,211,189,174,158
,,,,,,,,,,,,,,30,317,250,224,206,189
,,,,,,,,,,,,,,90,427,308,263,233,204
"03271000—Wolf Creek at Dayton OH—Statistics based on water years: 1987–1996, 2003–2020
Harmonic mean flow: 23.7 ft3/s—Average streamflow: 85.9 ft3/s—Minimum daily streamflow: 3.90 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,6.9,8.5,10.4,12,14,16,19,26,34.3,44.8,59.9,86,160,1,7.71,5.74,4.88,4.23,3.59
,,,,,,,,,,,,,,7,8.29,6.24,5.35,4.7,4.05
,,,,,,,,,,,,,,30,11,7.9,6.73,5.93,5.19
,,,,,,,,,,,,,,90,17.6,12.1,10.1,8.71,7.43
May–November,6.1,7.76,8.98,10.1,11.4,12.7,14,16.9,21.4,28.2,38,54.3,101,1,8.15,6.08,5.14,4.44,3.73
,,,,,,,,,,,,,,7,8.76,6.6,5.64,4.94,4.23
,,,,,,,,,,,,,,30,11.1,7.99,6.8,5.99,5.23
,,,,,,,,,,,,,,90,17.6,12.2,10.2,8.84,7.57
December–February,9.6,12,15.6,19,22,26,29,36,45,56.9,74.7,106,201,1,14.1,9.3,7.49,6.26,5.13
,,,,,,,,,,,,,,7,17.1,11,8.62,7.02,5.53
,,,,,,,,,,,,,,30,35.9,21.1,16,12.8,9.93
,,,,,,,,,,,,,,90,101,62.3,47.2,37,27.7
September–November,6,7.2,8.3,9,9.86,10.7,11.4,13,15.2,18.5,25,36.5,67,1,8.58,6.58,5.65,4.95,4.24
,,,,,,,,,,,,,,7,9.47,7.32,6.37,5.66,4.95
,,,,,,,,,,,,,,30,12.4,8.65,7.46,6.72,6.09
,,,,,,,,,,,,,,90,28,15.9,12.2,9.92,7.99
"03271300—Holes Creek near Kettering OH—Statistics based on water years: 2003–2004, 2007–2020
Harmonic mean flow: 6.36 ft3/s—Average streamflow: 30.7 ft3/s—Minimum daily streamflow: 0.85 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,1.44,1.94,2.6,3.39,4.13,4.95,5.78,7.7,10,13,18.2,28.6,62.7,1,1.76,1.29,1.08,0.93,0.78
,,,,,,,,,,,,,,7,2.02,1.47,1.22,1.04,0.85
,,,,,,,,,,,,,,30,3.69,2.58,2.21,1.98,1.78
,,,,,,,,,,,,,,90,8.71,5.22,3.94,3.1,2.35
May–November,1.28,1.61,2.09,2.48,2.89,3.39,3.88,5.01,6.4,8.48,12,19.6,49.9,1,1.74,1.29,1.09,0.95,0.81
,,,,,,,,,,,,,,7,1.98,1.46,1.22,1.05,0.88
,,,,,,,,,,,,,,30,3.54,2.48,2.14,1.92,1.74
,,,,,,,,,,,,,,90,9.22,5.56,4.18,3.26,2.44
December–February,3.8,4.82,5.9,6.69,7.65,8.32,9.16,11,13.5,17.1,22.8,35,72.6,1,4.34,2.84,2.19,1.73,1.29
,,,,,,,,,,,,,,7,5.93,4.05,3.16,2.5,1.87
,,,,,,,,,,,,,,30,13.1,9.81,8.74,8.08,7.52
,,,,,,,,,,,,,,90,35.1,27,23.8,21.5,19.3
September–November,1.07,1.4,1.64,1.9,2.18,2.47,2.93,3.89,4.95,6.06,8.23,13.3,36.6,1,1.92,1.37,1.15,0.99,0.84
,,,,,,,,,,,,,,7,2.29,1.54,1.24,1.03,0.83
,,,,,,,,,,,,,,30,4.88,2.89,2.28,1.91,1.6
,,,,,,,,,,,,,,90,14.4,8.26,6.15,4.81,3.64
"03271800—Twin Creek near Ingomar OH—Statistics based on water years: 1975–1999
Harmonic mean flow: 26.1 ft3/s—Average streamflow: 205 ft3/s—Minimum daily streamflow: 2.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,5,6.6,9.8,13,17,21,27,46,68,95,139,216,452,1,7.68,4.76,3.68,2.95,2.3
,,,,,,,,,,,,,,7,8.48,5.26,4.08,3.3,2.6
,,,,,,,,,,,,,,30,10.2,6.04,4.68,3.83,3.09
,,,,,,,,,,,,,,90,18.2,9.04,6.48,5,3.81
May–November,4.2,5.6,7.6,9.8,12,14,17,23,32,50,74,115,246,1,7.42,4.65,3.62,2.94,2.31
,,,,,,,,,,,,,,7,8.18,5.13,4.02,3.28,2.61
,,,,,,,,,,,,,,30,9.8,5.87,4.61,3.83,3.15
,,,,,,,,,,,,,,90,17,8.56,6.32,5.06,4.05
December–February,6.7,11,21,30,40,49,58,76,100,137,192,294,617,1,27.4,14.2,9.64,6.82,4.49
,,,,,,,,,,,,,,7,30.3,15.3,10.3,7.25,4.79
,,,,,,,,,,,,,,30,59.2,25.1,16,10.9,7.12
,,,,,,,,,,,,,,90,260,141,95.6,67.2,43.5
September–November,3.8,4.7,5.8,7,8.1,9.5,11,14,18,22,30,61,121,1,7.16,4.49,3.66,3.16,2.72
,,,,,,,,,,,,,,7,7.87,4.96,4.07,3.53,3.07
,,,,,,,,,,,,,,30,10.1,5.89,4.71,4.03,3.46
,,,,,,,,,,,,,,90,39.7,14.6,8.72,5.73,3.6
"03272000—Twin Creek near Germantown OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 40.5 ft3/s—Average streamflow: 321 ft3/s—Minimum daily streamflow: 2.50 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,6.7,10,15,20,27,34.5,45,75,110,151,220,343,723,1,10.4,5.84,4.28,3.29,2.43
,,,,,,,,,,,,,,7,11.5,6.51,4.81,3.74,2.81
,,,,,,,,,,,,,,30,14.2,8.04,6.24,5.17,4.28
,,,,,,,,,,,,,,90,28.5,13.5,9.36,7.03,5.17
May–November,5.8,7.8,11,14,17.8,21,25.5,36,53,80.7,117,182,377,1,10,5.7,4.21,3.28,2.46
,,,,,,,,,,,,,,7,11.1,6.33,4.73,3.72,2.84
,,,,,,,,,,,,,,30,13.6,7.8,6.14,5.15,4.34
,,,,,,,,,,,,,,90,27.3,13,9.22,7.07,5.35
December–February,13,22,40,56.9,70,84,99,130,172,230,319,498,996,1,46.9,23.4,15.1,10,6.07
,,,,,,,,,,,,,,7,54,26,16.5,10.8,6.46
,,,,,,,,,,,,,,30,122,51,30.6,19.5,11.4
,,,,,,,,,,,,,,90,419,244,175,130,90.2
September–November,4.8,6.4,8.38,10.1,12,14,16,20.4,28,37,61,106,219,1,10.1,5.62,4.18,3.3,2.54
,,,,,,,,,,,,,,7,11.4,6.39,4.89,3.99,3.23
,,,,,,,,,,,,,,30,16.5,8.24,6.08,4.87,3.91
,,,,,,,,,,,,,,90,64.7,22.8,13.2,8.45,5.1
"03272100—Great Miami River at Middletown OH—Statistics based on water years: 1995–2020
Harmonic mean flow: 1460 ft3/s—Average streamflow: 3960 ft3/s—Minimum daily streamflow: 220 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,436,540,646,771,902,"1,040","1,210","1,630","2,090","2,750","3,630","5,270","9,450",1,505,380,324,282,240
,,,,,,,,,,,,,,7,545,408,350,307,265
,,,,,,,,,,,,,,30,649,477,416,376,341
,,,,,,,,,,,,,,90,936,631,524,453,389
May–November,383,487,581,640,717,795,889,"1,110","1,410","1,800","2,430","3,440","6,140",1,507,383,327,286,243
,,,,,,,,,,,,,,7,547,411,353,311,268
,,,,,,,,,,,,,,30,646,478,420,381,347
,,,,,,,,,,,,,,90,943,641,533,462,397
December–February,505,754,984,"1,150","1,360","1,600","1,790","2,150","2,780","3,490","4,790","6,830","12,500",1,939,608,487,406,333
,,,,,,,,,,,,,,7,"1,070",687,549,458,374
,,,,,,,,,,,,,,30,"1,940","1,150",885,714,563
,,,,,,,,,,,,,,90,"4,580","2,880","2,220","1,770","1,360"
September–November,327,409,490,546,590,620,658,761,881,"1,050","1,360","1,910","3,490",1,526,393,335,292,249
,,,,,,,,,,,,,,7,576,428,366,321,277
,,,,,,,,,,,,,,30,789,524,432,372,319
,,,,,,,,,,,,,,90,"1,350",746,555,437,338
"03272700—Sevenmile Creek at Camden OH—Statistics based on water years: 1975–2000, 2003–2020
Harmonic mean flow: 11.5 ft3/s—Average streamflow: 80.4 ft3/s—Minimum daily streamflow: 0.81 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,2.05,2.9,4.1,5.5,7.2,9.4,12,20,29.2,41,58.2,87,166,1,2.93,1.7,1.28,1.02,0.8
,,,,,,,,,,,,,,7,3.22,1.9,1.46,1.19,0.95
,,,,,,,,,,,,,,30,4.28,2.49,1.96,1.65,1.39
,,,,,,,,,,,,,,90,7.8,4.04,3.01,2.42,1.94
May–November,1.8,2.4,3.2,4,4.9,5.89,6.95,10,14.4,21,31,47.7,92,1,2.83,1.68,1.29,1.05,0.83
,,,,,,,,,,,,,,7,3.11,1.88,1.47,1.22,0.99
,,,,,,,,,,,,,,30,4.08,2.4,1.91,1.62,1.39
,,,,,,,,,,,,,,90,7.65,3.97,2.98,2.43,1.98
December–February,3.2,5,9.6,13,17.6,21.9,25,34.8,46,60,80,119,232,1,10.9,4.89,3.04,1.99,1.19
,,,,,,,,,,,,,,7,13.9,6.31,3.93,2.56,1.53
,,,,,,,,,,,,,,30,29.5,12.9,8.12,5.47,3.45
,,,,,,,,,,,,,,90,103,60.2,43.6,32.6,23
September–November,1.63,2.1,2.56,3.1,3.5,4,4.5,5.8,7.4,10.4,15.8,26.6,55.4,1,2.9,1.72,1.35,1.12,0.92
,,,,,,,,,,,,,,7,3.24,1.96,1.58,1.35,1.15
,,,,,,,,,,,,,,30,4.77,2.61,2.02,1.67,1.39
,,,,,,,,,,,,,,90,16.1,6.35,3.96,2.71,1.78
"03274000—Great Miami River at Hamilton OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 1550 ft3/s—Average streamflow: 4100 ft3/s—Minimum daily streamflow: 265 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,450,545,686,805,939,"1,090","1,250","1,670","2,170","2,810","3,720","5,430","9,470",1,574,427,366,322,279
,,,,,,,,,,,,,,7,615,460,398,354,312
,,,,,,,,,,,,,,30,713,518,450,406,366
,,,,,,,,,,,,,,90,"1,000",664,545,467,396
May–November,424,491,606,690,768,847,942,"1,170","1,470","1,900","2,470","3,440","6,010",1,580,433,372,327,284
,,,,,,,,,,,,,,7,623,467,404,360,317
,,,,,,,,,,,,,,30,715,523,457,414,376
,,,,,,,,,,,,,,90,"1,010",670,551,474,404
December–February,522,660,947,"1,170","1,380","1,600","1,820","2,270","2,870","3,650","4,890","7,020","12,500",1,"1,030",675,537,444,357
,,,,,,,,,,,,,,7,"1,160",742,587,483,388
,,,,,,,,,,,,,,30,"2,030","1,170",871,683,518
,,,,,,,,,,,,,,90,"4,920","2,950","2,160","1,630","1,150"
September–November,396,448,499,558,623,674,721,826,970,"1,170","1,540","2,140","3,620",1,578,435,380,342,307
,,,,,,,,,,,,,,7,627,472,416,378,344
,,,,,,,,,,,,,,30,815,554,465,407,355
,,,,,,,,,,,,,,90,"1,480",835,624,493,380
"04177000—Ottawa River at University of Toledo, Toledo OH—Statistics based on water years: 1977–2020
Harmonic mean flow: 19.8 ft3/s—Average streamflow: 130 ft3/s—Minimum daily streamflow: 0.36 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,3.9,6,8.4,10.5,13,16,20,30,43,61,91,154,324,1,4.4,2.09,1.32,0.88,0.53
,,,,,,,,,,,,,,7,6.56,3.5,2.37,1.66,1.07
,,,,,,,,,,,,,,30,10.5,6.11,4.57,3.58,2.71
,,,,,,,,,,,,,,90,19.4,11.4,8.98,7.49,6.22
May–November,3.1,5,6.9,8.47,9.93,12,14,19,27,37.4,53.3,84.4,185,1,4.47,2.1,1.33,0.88,0.53
,,,,,,,,,,,,,,7,6.45,3.41,2.31,1.62,1.05
,,,,,,,,,,,,,,30,10.7,6.16,4.58,3.56,2.67
,,,,,,,,,,,,,,90,19.1,11.3,9.02,7.64,6.48
December–February,5,8.2,11,14.3,18.5,22.8,27,40,54.8,77,113,184,383,1,13.9,7.36,5.16,3.8,2.66
,,,,,,,,,,,,,,7,15.5,8.48,6.14,4.68,3.43
,,,,,,,,,,,,,,30,31.8,14.4,9.52,6.79,4.65
,,,,,,,,,,,,,,90,145,74.1,47.4,31.1,18.3
September–November,2.6,4.17,6,7.34,8.5,9.56,11,14,18,25.3,37.8,60.3,130,1,4.97,2.29,1.45,0.97,0.59
,,,,,,,,,,,,,,7,7.06,3.56,2.41,1.72,1.15
,,,,,,,,,,,,,,30,12.8,7.17,5.61,4.71,3.97
,,,,,,,,,,,,,,90,39.8,19.8,14,10.7,8.01
"04180988—St. Marys River at Rockford OH—Statistics based on water years: 2006–2020
Harmonic mean flow: 42.1 ft3/s—Average streamflow: 365 ft3/s—Minimum daily streamflow: 0.95 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,9.03,12,17,21.8,27,33,40.2,58.8,93.4,165,298,517,"1,040",1,12,5.46,3.1,1.79,0.87
,,,,,,,,,,,,,,7,13.7,6.48,3.71,2.13,1.02
,,,,,,,,,,,,,,30,18.3,9.79,6.49,4.41,2.72
,,,,,,,,,,,,,,90,30.2,17.9,13.9,11.4,9.14
May–November,7.8,10.3,13.2,16.5,19.3,22.5,26.2,35.3,48.8,71,117,248,633,1,11.8,5.5,3.19,1.87,0.94
,,,,,,,,,,,,,,7,13.3,6.45,3.77,2.21,1.1
,,,,,,,,,,,,,,30,17.8,9.67,6.54,4.54,2.88
,,,,,,,,,,,,,,90,30.3,18.3,14.3,11.8,9.58
December–February,18,23,33,38,44.3,55.7,69.2,110,180,290,456,694,"1,270",1,31.3,16.8,12.3,9.5,7.16
,,,,,,,,,,,,,,7,35.2,19.2,14.1,10.9,8.28
,,,,,,,,,,,,,,30,120,54.3,36.5,26.5,18.7
,,,,,,,,,,,,,,90,501,277,183,122,72.8
September–November,3.9,8.22,9.99,12.2,14.7,16.6,18.8,23.2,30,41.7,59.8,134,357,1,12.3,5.52,3.2,1.9,0.98
,,,,,,,,,,,,,,7,13.8,6.09,3.56,2.16,1.15
,,,,,,,,,,,,,,30,20.3,9.11,6.08,4.39,3.06
,,,,,,,,,,,,,,90,87.7,34.3,20.8,13.7,8.53
"04184500—Bean Creek at Powers OH—Statistics based on water years: 1975–1981, 2002–2020
Harmonic mean flow: 52.1 ft3/s—Average streamflow: 211 ft3/s—Minimum daily streamflow: 2.26 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,13,17.5,22,25.5,29.3,35.6,42.8,61.8,91,131,186,278,504,1,14.1,8.09,5.55,3.87,2.44
,,,,,,,,,,,,,,7,16,9.73,6.89,4.95,3.23
,,,,,,,,,,,,,,30,20.9,15.1,12.5,10.5,8.59
,,,,,,,,,,,,,,90,30.5,21.1,17.5,15,12.6
May–November,11,14.4,18.9,21.4,24,26,29,38.3,50.5,69,102,155,279,1,13.8,7.82,5.42,3.85,2.51
,,,,,,,,,,,,,,7,15.9,9.43,6.73,4.92,3.32
,,,,,,,,,,,,,,30,21,14.9,12.4,10.6,8.81
,,,,,,,,,,,,,,90,31.5,21.6,17.8,15.1,12.6
December–February,24,26.8,34.5,39,48,58,70,91.6,123,168,226,343,626,1,43.7,26.9,21.2,17.6,14.4
,,,,,,,,,,,,,,7,48.7,29.5,23,18.9,15.3
,,,,,,,,,,,,,,30,79.9,41.5,29.7,22.7,16.8
,,,,,,,,,,,,,,90,238,118,75.9,50.5,30.5
September–November,12.5,15,19,21,23,24.2,25.7,29.6,36,45,55.8,90,158,1,18.7,10.8,7.41,5.19,3.29
,,,,,,,,,,,,,,7,21.4,12.6,8.67,6.05,3.81
,,,,,,,,,,,,,,30,27.6,19.1,15.8,13.7,11.6
,,,,,,,,,,,,,,90,57.3,32.3,24.2,19.2,14.9
"04187100—Ottawa River at Lima OH—Statistics based on water years: 1989–1999, 2010–2020
Harmonic mean flow: 5.07 ft3/s—Average streamflow: 128 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.8,2.26,3.9,5.4,7,8.7,10.7,17,26,39,61,115,330,1,0.71,0,0,0,0
,,,,,,,,,,,,,,7,1.97,0.52,0.24,0.13,0.06
,,,,,,,,,,,,,,30,5.55,3.02,2.33,1.92,1.6
,,,,,,,,,,,,,,90,11.9,6,4.49,3.66,3.01
May–November,0.2,1.5,3.3,4.5,5.8,6.9,8.2,11,16.5,23.7,37,62,170,1,0.675,0,0,0,0
,,,,,,,,,,,,,,7,1.91,0.47,0.21,0.1,0.04
,,,,,,,,,,,,,,30,5.83,2.51,1.58,1.07,0.68
,,,,,,,,,,,,,,90,12.1,6.39,5,4.24,3.66
December–February,1.36,2.4,3.7,5.4,7.4,10,13,22.5,36,54,87.3,163,491,1,5.1,1.87,1.08,0.68,0.39
,,,,,,,,,,,,,,7,7.24,2.6,1.51,0.96,0.58
,,,,,,,,,,,,,,30,24,7.75,4.24,2.56,1.44
,,,,,,,,,,,,,,90,159,64.7,34.1,18.2,8.07
September–November,0,0.56,1.87,3,3.78,4.43,5.19,6.87,8.97,12,19,35,88,1,1.34,0.01,0,0,0
,,,,,,,,,,,,,,7,2.89,0.732,0.31,0.15,0.06
,,,,,,,,,,,,,,30,7.56,2.65,1.57,1.02,0.64
,,,,,,,,,,,,,,90,27,10.7,6.92,4.92,3.42
"04188337—Blanchard River below Mt. Blanchard OH—Statistics based on water years: 2008–2020
Harmonic mean flow: 2.99 ft3/s—Average streamflow: 163 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.4,0.78,1.82,3.67,5.61,7.41,9.8,17.2,29,47.1,77.1,146,393,1,0.6,0.11,0.02,0,0
,,,,,,,,,,,,,,7,1.05,0.12,0.03,0.01,0
,,,,,,,,,,,,,,30,2.22,0.66,0.35,0.21,0.12
,,,,,,,,,,,,,,90,4.72,1.87,1.3,1.01,0.81
May–November,0.28,0.51,0.9,1.52,2.38,3.66,4.83,7.55,13.2,22.1,38,76.9,240,1,0.56,0.12,0.03,0,0
,,,,,,,,,,,,,,7,1.08,0.13,0.03,0.01,0
,,,,,,,,,,,,,,30,2.28,0.71,0.39,0.23,0.13
,,,,,,,,,,,,,,90,5.06,2.02,1.39,1.08,0.85
December–February,5.38,7,8.3,10,11.5,14,18.2,27.6,42.4,64.9,111,193,556,1,6.63,2.87,1.86,1.31,0.88
,,,,,,,,,,,,,,7,9.95,5.12,3.71,2.89,2.21
,,,,,,,,,,,,,,30,39.1,15.6,9.93,6.93,4.69
,,,,,,,,,,,,,,90,207,102,64.9,42.8,25.5
September–November,0.17,0.4,0.69,0.94,1.38,1.85,2.48,4.35,6.25,9.51,16.6,33.1,94,1,0.84,0.17,0.04,0,0
,,,,,,,,,,,,,,7,1.64,0.19,0.04,0.01,0
,,,,,,,,,,,,,,30,3.06,0.83,0.47,0.31,0.21
,,,,,,,,,,,,,,90,21.6,5.77,2.96,1.73,0.95
"04188433—Lye Creek above Findlay OH—Statistics based on water years: 2008–2020
Harmonic mean flow: 0.19 ft3/s—Average streamflow: 19.7 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0,0,0,0.03,0.11,0.28,0.6,1.34,2.55,4.57,8.02,15.1,42.1,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0,0,0,0,0
,,,,,,,,,,,,,,30,0.01,0,0,0,0
,,,,,,,,,,,,,,90,0.42,0.03,0,0,0
May–November,0,0,0,0,0.01,0.03,0.1,0.44,0.99,1.79,3.33,6.82,23.1,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0,0,0,0,0
,,,,,,,,,,,,,,30,0.01,0,0,0,0
,,,,,,,,,,,,,,90,0.5,0.04,0.01,0,0
December–February,0.04,0.06,0.15,0.31,0.66,0.9,1.3,2.38,3.86,7.15,11.4,21.4,61.7,1,0.25,0.05,0.02,0,0
,,,,,,,,,,,,,,7,0.44,0.1,0.05,0.02,0.01
,,,,,,,,,,,,,,30,3.84,0.84,0.34,0.15,0.05
,,,,,,,,,,,,,,90,23.9,9.47,5.09,2.82,1.34
September–November,0,0,0,0,0,0,0,0.01,0.1,0.45,1,2.42,9.19,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0,0,0,0,0
,,,,,,,,,,,,,,30,0.01,0,0,0,0
,,,,,,,,,,,,,,90,2.07,0.37,0.14,0.06,0.02
"04188496—Eagle Creek above Findlay OH—Statistics based on water years: 2008–2020
Harmonic mean flow: 0.44 ft3/s—Average streamflow: 60.0 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.02,0.09,0.2,0.45,0.96,1.54,2.4,4.31,7.83,14.3,25.8,52.3,139,1,0.21,0,0,0,0
,,,,,,,,,,,,,,7,0.19,0,0,0,0
,,,,,,,,,,,,,,30,0.42,0.05,0.01,0,0
,,,,,,,,,,,,,,90,1.34,0.23,0.09,0.04,0.01
May–November,0.01,0.04,0.11,0.21,0.36,0.69,1.03,2.32,3.63,6.16,11,25.2,75.4,1,0.15,0,0,0,0
,,,,,,,,,,,,,,7,0.14,0,0,0,0
,,,,,,,,,,,,,,30,0.5,0.06,0.02,0.01,0
,,,,,,,,,,,,,,90,1.51,0.27,0.1,0.04,0.02
December–February,0.13,0.18,0.59,1.24,1.7,2.7,4.2,7.4,12,21,36.7,64.6,196,1,0.97,0.23,0.11,0.06,0.03
,,,,,,,,,,,,,,7,1.39,0.33,0.15,0.08,0.04
,,,,,,,,,,,,,,30,12.5,2.33,0.83,0.33,0.1
,,,,,,,,,,,,,,90,78.7,35.5,20,11.3,5.42
September–November,0,0.01,0.07,0.09,0.16,0.21,0.27,0.68,1.28,2.84,4.63,9.79,32.6,1,0.32,0,0,0,0
,,,,,,,,,,,,,,7,0.35,0,0,0,0
,,,,,,,,,,,,,,30,0.7,0.07,0.02,0.01,0
,,,,,,,,,,,,,,90,6,1.02,0.4,0.18,0.07
"04189131—Blanchard River at Gilboa OH—Statistics based on water years: 2010–2020
Harmonic mean flow: 73.0 ft3/s—Average streamflow: 565 ft3/s—Minimum daily streamflow: 8.23 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,15.5,21.7,29.3,38.9,48.1,57.2,69.3,103,157,248,382,690,"1,690",1,16.4,11.8,9.96,8.6,7.27
,,,,,,,,,,,,,,7,19.1,13.8,11.5,9.92,8.34
,,,,,,,,,,,,,,30,30.4,19.3,16.1,14.2,12.7
,,,,,,,,,,,,,,90,57.2,30.9,23.9,20,16.8
May–November,13.8,17.6,23,27.9,33.5,40.6,47.4,64.7,92.7,143,240,429,"1,080",1,15.8,11.6,9.95,8.74,7.56
,,,,,,,,,,,,,,7,18.8,13.8,11.7,10.2,8.73
,,,,,,,,,,,,,,30,29,19.1,16.3,14.7,13.4
,,,,,,,,,,,,,,90,59.1,32.9,25.7,21.5,18.1
December–February,32.9,40,50.8,58.9,68,80.9,96.3,139,216,335,498,921,"2,320",1,34.3,22.3,19.3,17.8,16.6
,,,,,,,,,,,,,,7,43.9,28.4,24.5,22.4,20.9
,,,,,,,,,,,,,,30,144,70.2,49.9,38.2,28.8
,,,,,,,,,,,,,,90,615,278,165,101,53.9
September–November,11.3,14.8,18.2,21.6,24.1,26.9,29.4,39.1,49.2,69.1,107,198,564,1,16.2,12.1,10.7,9.88,9.13
,,,,,,,,,,,,,,7,19,13.7,12.4,11.6,11.1
,,,,,,,,,,,,,,30,31.5,19.3,17.3,16.4,16
,,,,,,,,,,,,,,90,136,55.5,36.4,26.3,18.6
"04189174—Riley Creek below Pandora OH—Statistics based on water years: 2010–2020
Harmonic mean flow: 5.46 ft3/s—Average streamflow: 83.5 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.75,1.56,2.66,3.89,5.24,6.83,8.94,14.2,23.1,34.7,51.7,87.4,185,1,0.42,0.16,0,0,0
,,,,,,,,,,,,,,7,1,0.39,0.22,0.13,0.07
,,,,,,,,,,,,,,30,2.41,1.27,0.97,0.8,0.67
,,,,,,,,,,,,,,90,7.27,3.53,2.59,2.08,1.67
May–November,0.48,0.99,1.8,2.5,3.31,4.07,4.92,7.41,11.9,19.7,31.5,56,136,1,0.4,0.17,0.08,0,0
,,,,,,,,,,,,,,7,1.02,0.41,0.24,0.14,0.08
,,,,,,,,,,,,,,30,2.46,1.34,1.03,0.86,0.72
,,,,,,,,,,,,,,90,7.87,3.86,2.8,2.21,1.74
December–February,2.74,4.7,6.65,8,9.91,12,14,21,32,45,67.9,106,252,1,4.04,1.88,1.32,1.01,0.77
,,,,,,,,,,,,,,7,5.19,2.33,1.58,1.16,0.84
,,,,,,,,,,,,,,30,22.1,8.79,5.27,3.4,2.04
,,,,,,,,,,,,,,90,100,44.7,23.8,12.6,5.39
September–November,0.43,0.78,1.25,1.76,2.19,2.58,3.06,3.98,5.41,8.12,13.5,26,63.7,1,0.79,0.23,0.12,0.064,0.03
,,,,,,,,,,,,,,7,1.4,0.59,0.37,0.25,0.16
,,,,,,,,,,,,,,30,3.8,1.53,1.08,0.86,0.7
,,,,,,,,,,,,,,90,20.6,8.01,5.01,3.45,2.3
"04189260—Blanchard River at Ottawa OH—Statistics based on water years: 2010–2020
Harmonic mean flow: 84.6 ft3/s—Average streamflow: 662 ft3/s—Minimum daily streamflow: 2.76 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,17.1,27.8,37.5,45.7,54.2,67.6,85.3,128,200,315,506,886,"2,170",1,17.3,8.33,5.27,3.46,2.06
,,,,,,,,,,,,,,7,25.7,15.2,10.8,7.85,5.26
,,,,,,,,,,,,,,30,38.1,21.7,16.6,13.4,10.7
,,,,,,,,,,,,,,90,66.3,36.1,27.8,22.9,19
May–November,13.2,20.6,29.7,36.4,41.7,47.4,54.2,74.2,113,176,296,543,"1,430",1,15.3,7.41,4.84,3.32,2.11
,,,,,,,,,,,,,,7,23.6,14.1,10.3,7.73,5.45
,,,,,,,,,,,,,,30,35.3,20.7,16.2,13.4,11.1
,,,,,,,,,,,,,,90,68.4,38.3,29.7,24.6,20.4
December–February,39.7,45.9,54.3,76.4,90.9,106,127,185,280,446,635,"1,250","2,670",1,48.5,28.5,23.1,20,17.5
,,,,,,,,,,,,,,7,57.5,35.1,29.1,25.7,23
,,,,,,,,,,,,,,30,178,79.1,52.7,38.1,26.8
,,,,,,,,,,,,,,90,718,326,195,120,65.7
September–November,10,15.4,23,28,31.5,35.5,38.5,45.2,54.6,79.4,133,246,629,1,18,8.31,5.22,3.44,2.08
,,,,,,,,,,,,,,7,25.5,14.3,10.5,8.1,6.04
,,,,,,,,,,,,,,30,37.7,20.7,17.4,15.9,15
,,,,,,,,,,,,,,90,161,64.3,41.1,28.8,19.7
