Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
May–November,1,2.17,4,6,8.3,11,13,21,31,47,74,115,221,1,1.81,0.41,0.13,0.03,0
,,,,,,,,,,,,,,7,2.56,0.73,0.3,0.09,0
,,,,,,,,,,,,,,30,6.2,2.41,1.46,0.96,0.6
,,,,,,,,,,,,,,90,19.2,9.36,6.55,4.93,3.61
December–February,19,27,38,46,55,64.1,75,101,131,170,220,319,527,1,32,17.7,12.9,9.94,7.37
,,,,,,,,,,,,,,7,38.4,22.1,16.7,13.4,10.5
,,,,,,,,,,,,,,30,83.7,48.2,36.7,29.5,23.3
,,,,,,,,,,,,,,90,230,170,146,130,115
September–November,0.63,1.7,3.1,4.6,6,7.8,10,14,21,34,55,90,161,1,2.65,0.56,0.22,0.1,0.04
,,,,,,,,,,,,,,7,3.92,1.15,0.6,0.35,0.19
,,,,,,,,,,,,,,30,10.8,3.89,2.33,1.54,0.98
,,,,,,,,,,,,,,90,47.5,22.5,15.4,11.3,8.01
"03115400—Little Muskingum River at Bloomfield OH—Statistics based on water years: 1975–1981, 1996–2020
Harmonic mean flow: 8.18 ft3/s—Average streamflow: 308 ft3/s—Minimum daily streamflow: 0.02 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,1.11,2.66,5.77,10,16.3,24.7,35,67.8,112,171,250,370,702,1,1.71,0.44,0.19,0.09,0.03
,,,,,,,,,,,,,,7,2.27,0.61,0.28,0.14,0.06
,,,,,,,,,,,,,,30,5.85,1.55,0.74,0.39,0.19
,,,,,,,,,,,,,,90,26.3,7.48,3.73,2.06,1.04
May–November,0.6,1.5,3.17,4.97,6.92,9.6,13,23.8,40,66.6,110,190,377,1,1.67,0.43,0.18,0.09,0.03
,,,,,,,,,,,,,,7,2.15,0.59,0.28,0.14,0.06
,,,,,,,,,,,,,,30,5.25,1.43,0.71,0.4,0.2
,,,,,,,,,,,,,,90,24.1,7.19,3.7,2.11,1.1
December–February,19,26,42,57.9,78,99,120,165,220,286,377,573,"1,100",1,35.2,17.2,11.9,8.84,6.36
,,,,,,,,,,,,,,7,49,24.6,17.2,12.8,9.17
,,,,,,,,,,,,,,30,170,79.5,51,34.5,21.6
,,,,,,,,,,,,,,90,434,299,245,208,172
September–November,0.36,0.76,1.65,3.18,4.4,5.89,7.77,14,25,43.4,78,143,305,1,1.92,0.43,0.18,0.09,0.04
,,,,,,,,,,,,,,7,2.91,0.67,0.31,0.16,0.07
,,,,,,,,,,,,,,30,10.3,2.12,0.93,0.47,0.22
,,,,,,,,,,,,,,90,66.8,21.4,11.7,7.11,4.03
