object_id,record_type,well_use,longitude,latitude,coord_source,county,township,completion_date,total_depth_ft,dem_elev_ft,aquifer_type,drill_type,test_rate_gpm,static_water_level_ft,case_length_ft,bedrock_depth_ft,well_no
22446,W,DOMESTIC,-83.88023,40.91735,GEOCODE,ALLEN,RICHLAND,1998-10-29,51.0,829.2000122070312,LIMESTONE,ROTARY,15.0,35.0,38.0,49,879484
22447,W,DOMESTIC,-84.27306,40.70023,GEOCODE,ALLEN,AMANDA,1998-03-12,62.0,819.0999755859375,LIMESTONE,ROTARY,30.0,22.0,37.0,37,866848
22462,W,DOMESTIC,-84.20392,40.710229999999996,GEOCODE,ALLEN,SHAWNEE,1998-09-15,60.0,857.5,GRAVEL,CABLE TOOL,15.0,45.0,60.0,,879740
22463,W,DOMESTIC,-84.20801999999999,40.696329999999996,GEOCODE,ALLEN,SHAWNEE,1998-12-16,120.0,876.0,LIMESTONE,ROTARY,35.0,53.0,84.0,80,889056
22507,W,DOMESTIC,-84.24244999999999,40.72509,GEOCODE,ALLEN,AMANDA,1999-08-23,43.0,835.2999877929688,SAND/GRAVEL/SHALE,CABLE TOOL,7.0,30.0,43.0,,895893
22520,W,DOMESTIC,-83.96301,40.78489,GEOCODE,ALLEN,JACKSON,2000-02-03,50.0,907.0999755859375,LIMESTONE,ROTARY,20.0,12.0,26.0,26,901924
22522,W,DOMESTIC,-84.18092999999999,40.819829999999996,GEOCODE,ALLEN,SUGAR CREEK,1999-09-22,210.0,788.0,LIMESTONE,ROTARY,30.0,17.0,185.0,185,901859
22523,W,DOMESTIC,-84.20497999999999,40.70545,,ALLEN,SHAWNEE,1999-06-01,63.0,860.9000244140625,SAND & GRAVEL,CABLE TOOL,9.0,,63.0,,892946
22538,W,DOMESTIC,-83.93334999999999,40.86166,GEOCODE,ALLEN,RICHLAND,2000-10-16,123.0,858.0,LIMESTONE,ROTARY,7.0,70.0,27.0,27,922082
22552,W,DOMESTIC,-84.06384,40.655919999999995,GEOCODE,ALLEN,PERRY,2000-04-13,45.0,914.4000244140625,SAND & GRAVEL,ROTARY,25.0,11.0,42.0,,912278
22634,W,DOMESTIC,-83.994,40.79699,GEOCODE,ALLEN,JACKSON,2000-05-02,39.0,889.4000244140625,LIMESTONE,CABLE TOOL,9.0,22.0,36.0,36,892922
23076,W,DOMESTIC,-84.15665,40.79394,GEOCODE,ALLEN,AMERICAN,2001-04-30,182.0,804.4000244140625,GRAVEL,ROTARY,20.0,20.0,182.0,,935922
23185,W,DOMESTIC,-84.11822,40.66467,,ALLEN,SHAWNEE,2001-04-08,125.0,904.7000122070312,LIMESTONE,ROTARY,7.0,30.0,47.0,115,921283
23594,W,MONITOR,-84.33994,40.84699,,ALLEN,MARION,2002-03-15,12.0,769.7999877929688,BEDROCK,AUGER,,,2.0,12,942226
23610,W,DOMESTIC,-83.98490000000001,40.74776,,ALLEN,JACKSON,2002-06-20,60.0,919.7000122070312,LIMESTONE,ROTARY,20.0,18.0,44.0,58,940566
23657,W,DOMESTIC,-84.31190000000001,40.84157,GEOCODE,ALLEN,MARION,1994-08-23,75.0,773.5999755859375,LIMESTONE,ROTARY,6.0,8.0,25.0,25,790510
23696,W,DOMESTIC,-84.21480000000001,40.81605,GEOCODE,ALLEN,SUGAR CREEK,2002-06-03,97.0,792.4000244140625,LIMESTONE,ROTARY,30.0,22.0,32.0,94,949932
23711,W,DOMESTIC,-84.056995,40.716609999999996,DIGITIZED,ALLEN,PERRY,1953-06-01,66.0,920.9000244140625,LIMESTONE,,15.0,45.0,59.0,59,100636
23715,W,DOMESTIC,-84.02723,40.77478,GEOCODE,ALLEN,BATH,2001-09-01,71.0,897.7999877929688,LIMESTONE,CABLE TOOL,15.0,31.0,44.0,69,940802
23745,W,DOMESTIC,-84.16516999999999,40.7901,GEOCODE,ALLEN,AMERICAN,1981-08-11,181.0,808.2999877929688,LIMESTONE,,100.0,22.0,180.0,180,515464
23768,W,AGRIC/IRRIG,-83.93515,40.86463,GEOCODE,ALLEN,RICHLAND,2002-07-26,335.0,840.2999877929688,LIMESTONE,ROTARY,300.0,38.0,25.0,135,947752
23777,W,DOMESTIC,-83.9877,40.745619999999995,GEOCODE,ALLEN,JACKSON,1995-11-06,70.0,928.7000122070312,LIMESTONE,ROTARY,10.0,20.0,48.0,45,828320
